caldt,close,ret
6-Jul-20,"2,264.29",0.017
3-Jul-20,"2,226.39",-0.0006
2-Jul-20,"2,227.65",0.0074
1-Jul-20,"2,211.27",0.0043
30-Jun-20,"2,201.79",0.0116
29-Jun-20,"2,176.44",0.0089
26-Jun-20,"2,157.19",-0.0165
25-Jun-20,"2,193.40",0.0061
24-Jun-20,"2,180.12",-0.025
23-Jun-20,"2,236.04",0.0082
22-Jun-20,"2,217.82",0.004
19-Jun-20,"2,208.97",-0.003
18-Jun-20,"2,215.64",-0.001
17-Jun-20,"2,217.90",-0.0005
16-Jun-20,"2,219.10",0.0219
15-Jun-20,"2,171.44",0.0032
12-Jun-20,"2,164.46",0.0047
11-Jun-20,"2,154.44",-0.0498
10-Jun-20,"2,267.36",-0.0035
9-Jun-20,"2,275.28",-0.0056
8-Jun-20,"2,288.04",0.0094
5-Jun-20,"2,266.76",0.0218
4-Jun-20,"2,218.50",-0.0018
3-Jun-20,"2,222.54",0.0162
2-Jun-20,"2,187.09",0.0107
1-Jun-20,"2,163.92",0.0075
29-May-20,"2,147.88",-0.0002
28-May-20,"2,148.33",0.0053
27-May-20,"2,136.90",0.0107
26-May-20,"2,114.27",0.0156
25-May-20,"2,081.83",0.0048
22-May-20,"2,071.90",-0.0011
21-May-20,"2,074.10",-0.0086
20-May-20,"2,092.03",0.0149
19-May-20,"2,061.37",-0.0037
18-May-20,"2,069.00",0.0302
15-May-20,"2,008.41",0.0043
14-May-20,"1,999.89",0.0007
13-May-20,"1,998.48",-0.0175
12-May-20,"2,034.06",-0.0129
11-May-20,"2,060.70",-0.0006
8-May-20,"2,061.89",0.0177
7-May-20,"2,026.12",0.0092
6-May-20,"2,007.60",-0.0052
5-May-20,"2,018.11",0.0102
4-May-20,"1,997.75",-0.0035
1-May-20,"2,004.79",-0.0234
30-Apr-20,"2,052.85",-0.0086
29-Apr-20,"2,070.76",0.0234
28-Apr-20,"2,023.35",0.0004
27-Apr-20,"2,022.49",0.0175
24-Apr-20,"1,987.65",0.0067
23-Apr-20,"1,974.38",0.0031
22-Apr-20,"1,968.27",0.0186
21-Apr-20,"1,932.25",-0.031
20-Apr-20,"1,994.03",-0.0116
17-Apr-20,"2,017.51",0.0271
16-Apr-20,"1,964.33",0.0021
15-Apr-20,"1,960.20",-0.0232
14-Apr-20,"2,006.81",0.0256
13-Apr-20,"1,956.75",-0.0077
10-Apr-20,"1,971.95",0.0006
9-Apr-20,"1,970.67",0.0158
8-Apr-20,"1,940.08",0.0238
7-Apr-20,"1,895.04",0.0072
6-Apr-20,"1,881.48",0.0589
3-Apr-20,"1,776.86",-0.0145
2-Apr-20,"1,803.07",0.0122
1-Apr-20,"1,781.27",-0.0386
31-Mar-20,"1,852.73",-0.0095
30-Mar-20,"1,870.48",0.0237
27-Mar-20,"1,827.17",-0.0258
26-Mar-20,"1,875.56",0.0502
25-Mar-20,"1,785.99",0.0249
24-Mar-20,"1,742.61",0.0877
23-Mar-20,"1,602.11",-0.0296
20-Mar-20,"1,650.94",-0.0257
19-Mar-20,"1,694.45",0.0073
18-Mar-20,"1,682.25",-0.0511
17-Mar-20,"1,772.93",0.0412
16-Mar-20,"1,702.79",-0.0951
13-Mar-20,"1,881.64",0.0592
12-Mar-20,"1,776.52",-0.0991
11-Mar-20,"1,972.04",-0.0389
10-Mar-20,"2,051.96",0.0284
9-Mar-20,"1,995.22",-0.0717
6-Mar-20,"2,149.29",-0.0196
5-Mar-20,"2,192.35",-0.0226
4-Mar-20,"2,243.09",0.0292
3-Mar-20,"2,179.48",-0.0149
2-Mar-20,"2,212.38",0.0333
28-Feb-20,"2,141.12",-0.0166
27-Feb-20,"2,177.25",-0.036
26-Feb-20,"2,258.62",-0.0048
25-Feb-20,"2,269.42",-0.0263
24-Feb-20,"2,330.75",-0.03
21-Feb-20,"2,402.80",-0.0072
20-Feb-20,"2,420.21",-0.0045
19-Feb-20,"2,431.22",0.004
18-Feb-20,"2,421.47",-0.0038
17-Feb-20,"2,430.69",-0.0003
14-Feb-20,"2,431.37",0.0006
13-Feb-20,"2,429.89",-0.0021
12-Feb-20,"2,434.95",0.0057
11-Feb-20,"2,421.26",0.0034
10-Feb-20,"2,413.10",0.0035
7-Feb-20,"2,404.75",-0.0049
6-Feb-20,"2,416.48",0.0048
5-Feb-20,"2,404.96",0.0091
4-Feb-20,"2,383.30",0.0135
3-Feb-20,"2,351.45",0.0039
31-Jan-20,"2,342.41",-0.0125
30-Jan-20,"2,372.01",-0.0006
29-Jan-20,"2,373.52",0.0004
28-Jan-20,"2,372.52",0.007
27-Jan-20,"2,356.09",-0.0164
24-Jan-20,"2,395.31",-0.0045
23-Jan-20,"2,406.14",-0.0017
22-Jan-20,"2,410.23",0.0004
21-Jan-20,"2,409.29",-0.0024
20-Jan-20,"2,415.03",-0.0002
17-Jan-20,"2,415.51",0.0039
16-Jan-20,"2,406.17",0.0059
15-Jan-20,"2,392.06",0.0015
14-Jan-20,"2,388.50",0.0001
13-Jan-20,"2,388.25",0.0045
10-Jan-20,"2,377.62",-0.0009
9-Jan-20,"2,379.85",0.0055
8-Jan-20,"2,366.93",0.0019
7-Jan-20,"2,362.43",-0.0009
6-Jan-20,"2,364.49",0.0006
3-Jan-20,"2,363.12",-0.0054
2-Jan-20,"2,375.94",0.0074
1-Jan-20,"2,358.48",0
31-Dec-19,"2,358.47",0.0022
30-Dec-19,"2,353.25",-0.0049
27-Dec-19,"2,364.90",0.002
26-Dec-19,"2,360.21",0.0038
25-Dec-19,"2,351.22",-0.0003
24-Dec-19,"2,351.84",0.0005
23-Dec-19,"2,350.75",0.0004
20-Dec-19,"2,349.87",0.0039
19-Dec-19,"2,340.65",0.0032
18-Dec-19,"2,333.28",-0.0014
17-Dec-19,"2,336.62",-0.0004
16-Dec-19,"2,337.45",0.0076
13-Dec-19,"2,319.73",0.0045
12-Dec-19,"2,309.36",0.0062
11-Dec-19,"2,295.02",0.0023
10-Dec-19,"2,289.67",-0.0013
9-Dec-19,"2,292.58",-0.0017
