caldt,close,ret
3-Dec-20,"19,433.30",0.0112
2-Dec-20,"19,218.80",0.0239
1-Dec-20,"18,770.70",-0.0471
30-Nov-20,"19,698.10",0.0832
29-Nov-20,"18,185.50",0.0257
28-Nov-20,"17,730.70",0.0352
27-Nov-20,"17,127.10",-0.002
26-Nov-20,"17,162.00",-0.0834
25-Nov-20,"18,723.00",-0.0224
24-Nov-20,"19,152.60",0.0421
23-Nov-20,"18,379.60",-0.0018
22-Nov-20,"18,412.90",-0.0147
21-Nov-20,"18,687.20",0.0006
20-Nov-20,"18,675.20",0.049
19-Nov-20,"17,803.50",0.0016
18-Nov-20,"17,774.60",0.0064
17-Nov-20,"17,662.30",0.0566
16-Nov-20,"16,715.80",0.0478
15-Nov-20,"15,953.00",-0.0073
14-Nov-20,"16,071.00",-0.0155
13-Nov-20,"16,324.20",0.0018
12-Nov-20,"16,294.70",0.0382
11-Nov-20,"15,695.80",0.0256
10-Nov-20,"15,303.60",-0.0015
9-Nov-20,"15,327.20",-0.0101
8-Nov-20,"15,483.70",0.0442
7-Nov-20,"14,828.40",-0.0481
6-Nov-20,"15,577.90",-0.0006
5-Nov-20,"15,587.10",0.1019
4-Nov-20,"14,145.60",0.009
3-Nov-20,"14,019.90",0.0338
2-Nov-20,"13,561.40",-0.0144
1-Nov-20,"13,759.40",-0.0027
31-Oct-20,"13,797.30",0.0175
30-Oct-20,"13,559.90",0.0076
29-Oct-20,"13,457.20",0.0134
28-Oct-20,"13,278.90",-0.0277
27-Oct-20,"13,657.80",0.0456
26-Oct-20,"13,061.60",0.0023
25-Oct-20,"13,032.20",-0.0065
24-Oct-20,"13,117.20",0.0142
23-Oct-20,"12,934.10",-0.0031
22-Oct-20,"12,974.60",0.013
21-Oct-20,"12,808.70",0.0751
20-Oct-20,"11,913.50",0.0136
19-Oct-20,"11,753.40",0.0214
18-Oct-20,"11,506.90",0.0127
17-Oct-20,"11,362.10",0.0035
16-Oct-20,"11,322.00",-0.0157
15-Oct-20,"11,503.00",0.0072
14-Oct-20,"11,420.40",-0.0003
13-Oct-20,"11,423.80",-0.0095
12-Oct-20,"11,533.90",0.0143
11-Oct-20,"11,371.00",0.0064
10-Oct-20,"11,298.40",0.0221
9-Oct-20,"11,054.20",0.0119
8-Oct-20,"10,924.10",0.0237
7-Oct-20,"10,670.90",0.0064
6-Oct-20,"10,602.60",-0.0173
5-Oct-20,"10,789.50",0.0109
4-Oct-20,"10,672.90",0.0122
3-Oct-20,"10,544.20",-0.0027
2-Oct-20,"10,572.30",-0.0045
1-Oct-20,"10,620.50",-0.0144
30-Sep-20,"10,776.10",-0.006
