caldt,close,ret
8-Jan-21,"3,824.68",0.0055
7-Jan-21,"3,803.79",0.0148
6-Jan-21,"3,748.14",0.0057
5-Jan-21,"3,726.86",0.0071
4-Jan-21,"3,700.65",-0.0148
31-Dec-20,"3,756.07",0.0064
30-Dec-20,"3,732.04",0.0013
29-Dec-20,"3,727.04",-0.0022
28-Dec-20,"3,735.36",0.0087
24-Dec-20,"3,703.06",0.0035
23-Dec-20,"3,690.01",0.0007
22-Dec-20,"3,687.26",-0.0021
21-Dec-20,"3,694.92",-0.0039
18-Dec-20,"3,709.41",-0.0035
17-Dec-20,"3,722.48",0.0058
16-Dec-20,"3,701.17",0.0018
15-Dec-20,"3,694.62",0.0129
14-Dec-20,"3,647.49",-0.0044
11-Dec-20,"3,663.46",-0.0013
10-Dec-20,"3,668.10",-0.0013
9-Dec-20,"3,672.82",-0.0079
8-Dec-20,"3,702.25",0.0028
7-Dec-20,"3,691.96",-0.0019
4-Dec-20,"3,699.12",0.0088
3-Dec-20,"3,666.72",-0.0006
2-Dec-20,"3,669.01",0.0018
1-Dec-20,"3,662.45",0.0113
30-Nov-20,"3,621.63",-0.0046
27-Nov-20,"3,638.35",0.0024
25-Nov-20,"3,629.65",-0.0016
24-Nov-20,"3,635.41",0.0162
23-Nov-20,"3,577.59",0.0056
20-Nov-20,"3,557.54",-0.0068
19-Nov-20,"3,581.87",0.0039
18-Nov-20,"3,567.79",-0.0116
17-Nov-20,"3,609.53",-0.0048
16-Nov-20,"3,626.91",0.0116
13-Nov-20,"3,585.15",0.0136
12-Nov-20,"3,537.01",-0.01
11-Nov-20,"3,572.66",0.0077
10-Nov-20,"3,545.53",-0.0014
9-Nov-20,"3,550.50",0.0117
6-Nov-20,"3,509.44",-0.0003
5-Nov-20,"3,510.45",0.0195
4-Nov-20,"3,443.44",0.022
3-Nov-20,"3,369.16",0.0178
2-Nov-20,"3,310.24",0.0123
30-Oct-20,"3,269.96",-0.0121
29-Oct-20,"3,310.11",0.0119
28-Oct-20,"3,271.03",-0.0353
27-Oct-20,"3,390.68",-0.003
26-Oct-20,"3,400.97",-0.0186
23-Oct-20,"3,465.39",0.0034
22-Oct-20,"3,453.49",0.0052
21-Oct-20,"3,435.56",-0.0022
20-Oct-20,"3,443.12",0.0047
19-Oct-20,"3,426.92",-0.0163
16-Oct-20,"3,483.81",0.0001
15-Oct-20,"3,483.34",-0.0015
14-Oct-20,"3,488.67",-0.0066
13-Oct-20,"3,511.93",-0.0063
12-Oct-20,"3,534.22",0.0164
9-Oct-20,"3,477.13",0.0088
8-Oct-20,"3,446.83",0.008
7-Oct-20,"3,419.45",0.0174
6-Oct-20,"3,360.95",-0.014
5-Oct-20,"3,408.63",0.018
2-Oct-20,"3,348.44",-0.0096
1-Oct-20,"3,380.80",0.0053
30-Sep-20,"3,363.00",0.0083
29-Sep-20,"3,335.47",-0.0048
28-Sep-20,"3,351.60",0.0161
25-Sep-20,"3,298.46",0.016
24-Sep-20,"3,246.59",0.003
23-Sep-20,"3,236.92",-0.0237
22-Sep-20,"3,315.57",0.0105
21-Sep-20,"3,281.06",-0.0116
18-Sep-20,"3,319.47",-0.0112
17-Sep-20,"3,357.01",-0.0084
16-Sep-20,"3,385.49",-0.0046
15-Sep-20,"3,401.20",0.0052
14-Sep-20,"3,383.54",0.0127
11-Sep-20,"3,340.97",0.0005
10-Sep-20,"3,339.19",-0.0176
9-Sep-20,"3,398.96",0.0201
8-Sep-20,"3,331.84",-0.0278
4-Sep-20,"3,426.96",-0.0081
3-Sep-20,"3,455.06",-0.0351
2-Sep-20,"3,580.84",0.0154
1-Sep-20,"3,526.65",0.0075
31-Aug-20,"3,500.31",-0.0022
28-Aug-20,"3,508.01",0.0067
27-Aug-20,"3,484.55",0.0017
26-Aug-20,"3,478.73",0.0102
25-Aug-20,"3,443.62",0.0036
24-Aug-20,"3,431.28",0.01
21-Aug-20,"3,397.16",0.0034
20-Aug-20,"3,385.51",0.0032
19-Aug-20,"3,374.85",-0.0044
18-Aug-20,"3,389.78",0.0023
17-Aug-20,"3,381.99",0.0027
14-Aug-20,"3,372.85",-0.0002
13-Aug-20,"3,373.43",-0.002
12-Aug-20,"3,380.35",0.014
11-Aug-20,"3,333.69",-0.008
10-Aug-20,"3,360.47",0.0027
7-Aug-20,"3,351.28",0.0006
6-Aug-20,"3,349.16",0.0064
5-Aug-20,"3,327.77",0.0064
4-Aug-20,"3,306.51",0.0036
3-Aug-20,"3,294.61",0.0072
31-Jul-20,"3,271.12",0.0077
30-Jul-20,"3,246.22",-0.0038
29-Jul-20,"3,258.44",0.0124
28-Jul-20,"3,218.44",-0.0065
27-Jul-20,"3,239.41",0.0074
24-Jul-20,"3,215.63",-0.0062
23-Jul-20,"3,235.66",-0.0123
22-Jul-20,"3,276.02",0.0057
21-Jul-20,"3,257.30",0.0017
20-Jul-20,"3,251.84",0.0084
17-Jul-20,"3,224.73",0.0028
16-Jul-20,"3,215.57",-0.0034
15-Jul-20,"3,226.56",0.0091
14-Jul-20,"3,197.52",0.0134
13-Jul-20,"3,155.22",-0.0094
10-Jul-20,"3,185.04",0.0105
9-Jul-20,"3,152.05",-0.0056
8-Jul-20,"3,169.94",0.0078
7-Jul-20,"3,145.32",-0.0108
6-Jul-20,"3,179.72",0.0159
2-Jul-20,"3,130.01",0.0045
1-Jul-20,"3,115.86",0.005
30-Jun-20,"3,100.29",0.0154
29-Jun-20,"3,053.24",0.0147
26-Jun-20,"3,009.05",-0.0242
25-Jun-20,"3,083.76",0.011
24-Jun-20,"3,050.33",-0.0259
23-Jun-20,"3,131.29",0.0043
22-Jun-20,"3,117.86",0.0065
19-Jun-20,"3,097.74",-0.0056
18-Jun-20,"3,115.34",0.0006
17-Jun-20,"3,113.49",-0.0036
16-Jun-20,"3,124.74",0.019
15-Jun-20,"3,066.59",0.0083
12-Jun-20,"3,041.31",0.0131
11-Jun-20,"3,002.10",-0.0589
10-Jun-20,"3,190.14",-0.0053
9-Jun-20,"3,207.18",-0.0078
8-Jun-20,"3,232.39",0.012
5-Jun-20,"3,193.93",0.0262
4-Jun-20,"3,112.35",-0.0034
3-Jun-20,"3,122.87",0.0136
2-Jun-20,"3,080.82",0.0082
1-Jun-20,"3,055.73",0.0038
29-May-20,"3,044.31",0.0048
28-May-20,"3,029.73",-0.0021
27-May-20,"3,036.13",0.0148
26-May-20,"2,991.77",0.0123
22-May-20,"2,955.45",0.0024
21-May-20,"2,948.51",-0.0078
20-May-20,"2,971.61",0.0167
19-May-20,"2,922.94",-0.0105
18-May-20,"2,953.91",0.0315
15-May-20,"2,863.70",0.0039
14-May-20,"2,852.50",0.0115
13-May-20,"2,820.00",-0.0175
12-May-20,"2,870.12",-0.0205
11-May-20,"2,930.32",0.0002
8-May-20,"2,929.80",0.0169
7-May-20,"2,881.19",0.0115
6-May-20,"2,848.42",-0.007
5-May-20,"2,868.44",0.009
4-May-20,"2,842.74",0.0042
1-May-20,"2,830.71",-0.0281
30-Apr-20,"2,912.43",-0.0092
29-Apr-20,"2,939.51",0.0266
28-Apr-20,"2,863.39",-0.0052
27-Apr-20,"2,878.48",0.0147
24-Apr-20,"2,836.74",0.0139
23-Apr-20,"2,797.80",-0.0005
22-Apr-20,"2,799.31",0.0229
21-Apr-20,"2,736.56",-0.0307
20-Apr-20,"2,823.16",-0.0179
17-Apr-20,"2,874.56",0.0268
16-Apr-20,"2,799.55",0.0058
15-Apr-20,"2,783.36",-0.022
14-Apr-20,"2,846.06",0.0306
13-Apr-20,"2,761.63",-0.0101
9-Apr-20,"2,789.82",0.0145
8-Apr-20,"2,749.98",0.0341
7-Apr-20,"2,659.41",-0.0016
6-Apr-20,"2,663.68",0.0703
3-Apr-20,"2,488.65",-0.0151
2-Apr-20,"2,526.90",0.0228
1-Apr-20,"2,470.50",-0.0441
31-Mar-20,"2,584.59",-0.016
30-Mar-20,"2,626.65",0.0335
27-Mar-20,"2,541.47",-0.0337
26-Mar-20,"2,630.07",0.0624
25-Mar-20,"2,475.56",0.0115
24-Mar-20,"2,447.33",0.0938
23-Mar-20,"2,237.40",-0.0293
20-Mar-20,"2,304.92",-0.0434
19-Mar-20,"2,409.39",0.0047
18-Mar-20,"2,398.10",-0.0518
17-Mar-20,"2,529.19",0.06
16-Mar-20,"2,386.13",-0.1198
13-Mar-20,"2,711.02",0.0929
12-Mar-20,"2,480.64",-0.0951
11-Mar-20,"2,741.38",-0.0489
10-Mar-20,"2,882.23",0.0494
9-Mar-20,"2,746.56",-0.076
6-Mar-20,"2,972.37",-0.0171
5-Mar-20,"3,023.94",-0.0339
4-Mar-20,"3,130.12",0.0422
3-Mar-20,"3,003.37",-0.0281
2-Mar-20,"3,090.23",0.046
28-Feb-20,"2,954.22",-0.0082
27-Feb-20,"2,978.76",-0.0442
26-Feb-20,"3,116.39",-0.0038
25-Feb-20,"3,128.21",-0.0303
24-Feb-20,"3,225.89",-0.0335
21-Feb-20,"3,337.75",-0.0105
20-Feb-20,"3,373.23",-0.0038
19-Feb-20,"3,386.15",0.0047
18-Feb-20,"3,370.29",-0.0029
14-Feb-20,"3,380.16",0.0018
13-Feb-20,"3,373.94",-0.0016
12-Feb-20,"3,379.45",0.0065
11-Feb-20,"3,357.75",0.0017
10-Feb-20,"3,352.09",0.0073
7-Feb-20,"3,327.71",-0.0054
6-Feb-20,"3,345.78",0.0033
5-Feb-20,"3,334.69",0.0113
4-Feb-20,"3,297.59",0.015
3-Feb-20,"3,248.92",0.0073
31-Jan-20,"3,225.52",-0.0177
30-Jan-20,"3,283.66",0.0031
29-Jan-20,"3,273.40",-0.0009
28-Jan-20,"3,276.24",0.0101
27-Jan-20,"3,243.63",-0.0157
24-Jan-20,"3,295.47",-0.009
23-Jan-20,"3,325.54",0.0011
22-Jan-20,"3,321.75",0.0003
